project_id,date,capex_$,opex_$,idc_$,category,note,base_cost_year,currency
proj_001,2025-11-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2025-12-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2026-01-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2026-02-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2026-03-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2026-04-01,4767,0,0,ENGINEERING,,2025,USD
proj_001,2025-11-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2025-12-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2026-01-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2026-02-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2026-03-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2026-04-01,21450,0,0,PROCUREMENT,,2025,USD
proj_001,2025-11-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2025-12-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2026-01-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2026-02-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2026-03-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2026-04-01,19067,0,0,CONSTRUCTION,,2025,USD
proj_001,2025-11-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2025-12-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-01-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-02-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-03-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-04-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-05-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-06-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-07-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-08-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-09-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-10-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-11-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2026-12-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-01-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-02-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-03-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-04-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-05-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-06-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-07-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-08-01,367,0,0,COMMISSIONING,,2025,USD
proj_001,2027-09-01,367,0,0,COMMISSIONING,,2025,USD
